Split Method,Protocol,Model,Common Condition,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Fixed Token Splitting,POP3,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.4,0.111,0.174,0.6,0.167,0.261
Fixed Token Splitting,POP3,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.429,0.167,0.24,0.571,0.222,0.32
Fixed Token Splitting,POP3,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.222,0.111,0.148,0.556,0.278,0.37
Fixed Token Splitting,POP3,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,1.0,0.111,0.2,0.5,0.056,0.1
Fixed Token Splitting,POP3,qwq_32b_qwq_reasoning_ollama_json_schema_output,No,1.0,1.0,1.0,0.25,0.222,0.235,0.688,0.611,0.647
Fixed Token Splitting,PPP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed Token Splitting,PPP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.833,1.0,0.909,0.051,0.111,0.07,0.136,0.296,0.186
Fixed Token Splitting,PPP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.667,1.0,0.8,0.017,0.074,0.028,0.127,0.556,0.207
Fixed Token Splitting,PPP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,0.588,1.0,0.741,0.065,0.259,0.104,0.159,0.63,0.254
Fixed Token Splitting,PPP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.041,0.185,0.067,0.138,0.63,0.227
Fixed Token Splitting,PPP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,0.833,1.0,0.909,0.078,0.444,0.133,0.123,0.704,0.21
Fixed Token Splitting,PPP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.025,0.111,0.04,0.139,0.63,0.228
